"Team","PA","BB%","K%","BB/K","SB","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+"
"Twins","606","8.3 %","19.8 %","0.42","2",".371",".519",".890",".212","3.6",".344","104","28.7",".373","134"
"Diamondbacks","849","6.6 %","20.1 %","0.33","2",".348",".535",".884",".239","3.9",".333","141","35.8",".367","126"
"Astros","691","10.9 %","18.1 %","0.60","6",".355",".493",".848",".219","4.1",".301","109","23.4",".357","130"
"Nationals","682","9.1 %","21.3 %","0.43","14",".364",".478",".841",".191","5.1",".342","106","21.5",".356","118"
"Athletics","652","8.4 %","18.4 %","0.46","4",".344",".502",".845",".225","3.2",".294","100","19.9",".353","125"
"Brewers","689","9.4 %","22.2 %","0.42","10",".333",".474",".807",".219","4.0",".283","98","12.8",".339","109"
"Mets","647","7.7 %","25.3 %","0.30","5",".336",".464",".800",".197","3.9",".327","92","11.9",".339","116"
"Braves","625","9.0 %","21.3 %","0.42","5",".331",".463",".794",".201","5.3",".301","85","7.9",".333","104"
"Mariners","752","10.8 %","26.5 %","0.41","12",".330",".445",".775",".205","4.5",".291","101","8.2",".330","112"
"Cubs","481","11.2 %","24.9 %","0.45","1",".335",".442",".776",".201","3.1",".283","64","4.6",".330","103"
"Rockies","831","7.6 %","25.8 %","0.29","9",".323",".458",".781",".196","5.0",".333","110","7.1",".329","88"
"Phillies","644","9.3 %","20.7 %","0.45","2",".332",".439",".771",".180","3.4",".304","83","3.4",".326","100"
"Dodgers","879","10.8 %","21.8 %","0.49","6",".337",".425",".763",".174","3.7",".294","113","4.8",".324","104"
"Rays","749","9.6 %","29.0 %","0.33","8",".332",".411",".743",".152","3.5",".346","93","0.8",".318","102"
"Angels","889","9.7 %","16.2 %","0.60","4",".326",".417",".743",".174","2.5",".258","110","0.3",".318","102"
"Cardinals","486","9.9 %","21.2 %","0.47","7",".318",".409",".727",".174","3.5",".265","58","-2.1",".312","94"
"Rangers","759","8.8 %","26.9 %","0.33","15",".313",".414",".727",".175","6.3",".308","89","-4.5",".311","86"
"Padres","474","9.3 %","27.2 %","0.34","5",".303",".425",".728",".203","3.9",".262","55","-3.5",".310","93"
"Red Sox","740","8.5 %","22.4 %","0.38","7",".308",".420",".728",".181","3.4",".273","85","-6.0",".308","88"
"Reds","584","7.9 %","19.9 %","0.40","9",".318",".399",".717",".144","4.3",".294","67","-5.3",".307","87"
"Tigers","391","8.2 %","26.3 %","0.31","3",".315",".405",".720",".154","4.6",".322","45","-3.7",".306","91"
"Orioles","824","6.1 %","26.1 %","0.23","16",".308",".409",".717",".157","3.7",".313","93","-8.3",".306","90"
"White Sox","513","6.8 %","24.8 %","0.28","8",".318",".387",".705",".132","3.7",".330","58","-5.2",".305","92"
"Yankees","557","7.9 %","26.2 %","0.30","6",".303",".377",".680",".139","3.1",".306","57","-11.8",".293","81"
"Indians","757","10.2 %","22.9 %","0.45","8",".305",".367",".671",".147","3.1",".263","76","-17.3",".291","76"
"Blue Jays","686","7.9 %","24.3 %","0.32","4",".287",".375",".662",".146","3.3",".278","65","-19.6",".283","76"
"Pirates","634","4.6 %","25.6 %","0.18","4",".285",".373",".659",".125","3.1",".314","58","-20.3",".282","73"
"Royals","673","7.9 %","25.3 %","0.31","25",".291",".357",".649",".131","5.5",".281","61","-22.0",".279","71"
"Giants","784","7.8 %","23.7 %","0.33","6",".289",".336",".625",".112","3.5",".281","65","-31.6",".271","68"
"Marlins","645","5.3 %","20.5 %","0.26","2",".280",".351",".631",".117","2.2",".276","54","-26.0",".271","69"
